id_documento,titulo,tipo_documental,serie,dependencia,fecha_creacion,fecha_digitalizacion,formato,peso_kb,num_paginas,idioma,estado,clasificacion,digitalizador,calidad_imagen,observaciones
AHB-2019-1050,Resolución #614,solicitud,Resoluciones Administrativas,Archivo Histórico,2019-03-04 23:11:38.327759,2019-06-30 23:11:38.327759,PNG,7612.1,38,es,Eliminado,Público,Ana García,1.0,
AHB-2023-1298,Memorando #786,Memorando,Memorandos,Secretaría General,2024-12-22 21:50:10.033444,2026-03-15 21:50:10.033444,JPEG,460.3,18,es,Activo,Confidencial,Carlos López,3.0,
AHB-2023-1251,Oficio #394,Oficio,Oficios,Secretaría General,2023-11-17 04:08:01.605351,2025-02-08 04:08:01.605351,DOCX,4804.4,7,es,Eliminado,Público,Laura Sánchez,2.0,
AHB-2022-1231,Contrato #923,Contrato,Contratos y Convenios,Hacienda,2023-05-30 00:51:22.274247,2023-11-05 00:51:22.274247,TIFF,4738.8,38,es,Inactivo,Público,Carlos López,2.0,
AHB-2018-1015,Solicitud #163,Solicitud,Solicitudes Ciudadanas,Hacienda,2018-05-09 13:27:29.498327,2018-12-12 13:27:29.498327,JPEG,4626.7,62,es,Transferido,Público,Carlos López,3.0,
AHB-2018-1032,Acta #511,Acta,Actas de Reunión,Archivo Histórico,2018-10-02 02:14:38.929765,2020-08-17 02:14:38.929765,TIFF,5807.2,41,es,Eliminado,Reservado,Ana García,5.0,
AHB-2020-1111,Solicitud #812,Solicitud,Solicitudes Ciudadanas,Archivo Histórico,2020-08-07 06:11:26.287625,2021-11-01 06:11:26.287625,DOCX,7361.0,13,es,Transferido,Reservado,Laura Sánchez,1.0,
AHB-2018-1043,Circular #250,Circular,Circulares,Archivo Histórico,2019-01-04 02:02:48.561872,2020-03-19 02:02:48.561872,TIFF,1494.7,16,es,Transferido,Reservado,Laura Sánchez,1.0,
AHB-2021-1177,Memorando #093,Memorando,Memorandos,Jurídica,2022-02-22 16:00:24.080267,2023-12-17 16:00:24.080267,DOCX,2372.5,25,es,Eliminado,Público,Carlos López,1.0,
AHB-2020-1102,Contrato #326,Contrato,Contratos y Convenios,Archivo Histórico,2020-05-22 08:42:56.588628,2022-04-20 08:42:56.588628,PDF,3496.5,50,es,Activo,Reservado,Laura Sánchez,1.0,
